ABHD15,1.28,0.88,3.51,7.95,2.08,2.12,0.9,0,0,14.58,16.77,3.32,2.08,0,6.44
ABHD16A,30,47,47,36,48,40,34,31,33,40,57,24,51,49,10
ABHD16B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD2,58.97,83.38,87.07,97.62,92.53,82.65,85.18,47.04,77.61,33.19,117.68,54,58.89,43.02,52.61
ABHD3,2,4,9,11,20,6,11,14,18,44,35,35,37,26,15
ABHD4,25.94,48,65,51,43,35,72,58,89,35,95,43,25,55.17,56
ABHD5,45.7,59,59,59,36,56,28,12.96,37,55,22.07,39,50.87,38,69
ABHD6,6,6,8,24,22,19,123,96,93,48,36,28,19,25,15
ABHD8,0,3,6,2,9,2,1,4,6,0,13,7,5,9,4
ABI1,95,80,87,73,85,105,70,57,103,169,128,136,127,160,144
ABI2,205.14,241.61,326.62,295.6,299.04,253.46,218.39,166.66,233.9,402.69,573.68,391.89,425.54,403.69,415.64
ABI3,3,5,6,5,3,10,1,1,8,4,1,4,9,10,8
ABI3BP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABL1,178,194,236,213,231,230.64,262,186,300,91,177,125,103,141,129
ABL2,130.3,115.04,162.28,107.05,124.75,137.59,132.45,92.37,153.58,73.97,154.34,85.33,127.13,100.45,135.45
ABLIM1,206.85,297.29,309.02,232.73,211.24,238.16,656.21,553.09,740,40.01,93,78,71.45,42.5,62
ABLIM2,2,4,1,1,0,0,0,0,0,0,0,0,2,0,0
ABLIM3,0,1,2,0,0,0,2,1,3,0,1,0,0,3,5
